,2011-04-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
ProfitLoss,,,,,,582000000.000,492000000.000,416000000.000,348000000.000,427000000.000,428000000.000,395000000.000,320000000.000,933000000.000,291000000.000,34000000.000,165000000.000,-21000000.000,70000000.000,,,
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,,,,,,,,,,,,,,-1000000.000,,,,,,
RepaymentsOfLongTermDebtAndCapitalSecurities,,34000000.000,,,,0.000,,,,,,,,,,15000000.000,,,,0.000,,
ResearchAndDevelopmentExpense,224000000.000,208000000.000,259000000.000,270000000.000,269000000.000,268000000.000,277000000.000,294000000.000,294000000.000,294000000.000,312000000.000,297000000.000,323000000.000,341000000.000,346000000.000,328000000.000,304000000.000,298000000.000,307000000.000,315000000.000,305000000.000,324000000.000
RestructuringAndRelatedCostNumberOfPositionsEliminated,,,,,,,,,,,,,,,,1000.000,1000.000,,,,,
RestructuringCharges,3000000.000,,3000000.000,1000000.000,,0.000,1000000.000,1000000.000,0.000,2000000.000,16000000.000,2000000.000,4000000.000,3000000.000,14000000.000,59000000.000,17000000.000,20000000.000,79000000.000,82000000.000,33000000.000,48000000.000
RestructuringReserveAccrualAdjustment,-1000000.000,,,,,,,,,,,,,,,,,,,,,
RestructuringReservePeriodExpense,4000000.000,,,,,,,,,,,,,,,,,,,,,
RestructuringReserveSettledWithCash,24000000.000,,,,,,,,,,,,,,,,,,,,,
Revenues,2695000000.000,2811000000.000,3195000000.000,4450000000.000,4483000000.000,3732000000.000,3668000000.000,3526000000.000,3425000000.000,3489000000.000,3528000000.000,3406000000.000,3301000000.000,3696000000.000,3330000000.000,2925000000.000,2986000000.000,2595000000.000,2654000000.000,2797000000.000,2894000000.000,2674000000.000
SalesRevenueNet,2695000000.000,2811000000.000,3195000000.000,4450000000.000,4483000000.000,3732000000.000,3668000000.000,3526000000.000,3425000000.000,3489000000.000,3528000000.000,3406000000.000,3301000000.000,3696000000.000,3330000000.000,2925000000.000,2986000000.000,2595000000.000,2654000000.000,2797000000.000,2894000000.000,2674000000.000
SellingGeneralAndAdministrativeExpense,110000000.000,105000000.000,141000000.000,142000000.000,140000000.000,150000000.000,139000000.000,168000000.000,178000000.000,181000000.000,190000000.000,190000000.000,161000000.000,218000000.000,219000000.000,182000000.000,160000000.000,150000000.000,143000000.000,155000000.000,155000000.000,150000000.000
ShareBasedCompensation,12000000.000,12000000.000,,,,17000000.000,19000000.000,20000000.000,20000000.000,27000000.000,30000000.000,30000000.000,31000000.000,31000000.000,33000000.000,33000000.000,32000000.000,30000000.000,25000000.000,40000000.000,33000000.000,37000000.000
SharesPaidForTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,1000000.000,,,,1000000.000,,
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,,1500000.000,45200000.000,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,2800000.000,3700000.000,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation,,26000000.000,,,,157000000.000,,,,39000000.000,,,,,,,,,,,,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount,,,,,,,,900000000.000,,3200000000.000,,,,,,,,,,,,
StockRepurchasedAndRetiredDuringPeriodShares,,,,,,20000000.000,30000000.000,3000000.000,1000000.000,4000000.000,33000000.000,4000000.000,0.000,300000.000,12000000.000,21000000.000,,,,4000000.000,,
StockRepurchasedAndRetiredDuringPeriodValue,,,,,,,,102000000.000,,,,184000000.000,,18000000.000,706000000.000,1036000000.000,,,,124000000.000,,
StockRepurchasedDuringPeriodShares,,,,,,,,,,,,,,,,20000000.000,,,,3000000.000,,0.000
StockRepurchasedDuringPeriodValue,,,,,,,,,,,,,,,,983000000.000,,,,101000000.000,,
TaxAdjustmentsSettlementsAndUnusualProvisions,15000000.000,-2000000.000,,,,7000000.000,-6000000.000,4000000.000,,3000000.000,4000000.000,-14000000.000,,,,-4000000.000,,,,-5000000.000,1000000.000,8000000.000
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,,,,,,11000000.000,,,,6000000.000,,,,,,-4000000.000,,,,-2000000.000,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,7000000.000,,,,,,,,,,,,,,,,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,16000000.000,12000000.000,12000000.000,17000000.000,-26000000.000,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,453000000.000,433000000.000,439000000.000,463000000.000,-894000000.000,409000000.000,379000000.000,369000000.000,-775000000.000,368000000.000,346000000.000,338000000.000,-705000000.000,336000000.000,330000000.000,308000000.000,301000000.000,298000000.000,-605000000.000,301000000.000,298000000.000,300000000.000
WeightedAverageNumberOfSharesIssuedBasic,437000000.000,421000000.000,,,,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,437000000.000,421000000.000,427000000.000,446000000.000,-868000000.000,394000000.000,369000000.000,358000000.000,-751000000.000,357000000.000,336000000.000,327000000.000,-683000000.000,328000000.000,323000000.000,302000000.000,299000000.000,298000000.000,-600000000.000,299000000.000,296000000.000,296000000.000
